,lat,lng,package_id,planned_service_time
3,42.260606,-71.152699,1.0,119.0
7,42.263185,-71.153221,4.0,295.2
11,42.263756,-71.154611,1.0,90.0
12,42.264842,-71.150386,1.0,324.0
13,42.264243,-71.149194,1.0,88.0
14,42.263646,-71.148957,1.0,152.0
15,42.263131,-71.147458,1.0,71.0
16,42.264619,-71.151359,1.0,77.0
17,42.264432,-71.152088,3.0,140.10000000000002
18,42.263203,-71.15216,1.0,70.0
19,42.261656,-71.15209,1.0,45.0
20,42.262328,-71.151786,1.0,52.0
21,42.261859,-71.151021,1.0,54.0
22,42.261082,-71.151586,1.0,138.0
23,42.260476,-71.151515,1.0,63.0
24,42.260093,-71.151005,1.0,311.0
25,42.261108,-71.150737,3.0,183.0
30,42.25575,-71.14552,4.0,532.0
31,42.256614,-71.14643,1.0,102.0
32,42.256679,-71.146747,1.0,96.0
35,42.257052,-71.144238,1.0,95.0
36,42.257112,-71.146139,2.0,217.0
37,42.256396,-71.144292,1.0,117.0
38,42.25514,-71.145003,2.0,175.0
39,42.242578,-71.13443,4.0,262.0
40,42.243702,-71.137233,2.0,110.0
41,42.241911,-71.139536,1.0,65.0
42,42.241835,-71.137671,6.0,499.20000000000005
43,42.241665,-71.136185,1.0,115.0
44,42.241211,-71.13575,1.0,54.0
45,42.241601,-71.134879,1.0,258.0
46,42.241317,-71.135048,1.0,38.0
47,42.241393,-71.139465,1.0,51.0
48,42.241977,-71.141826,2.0,71.0
49,42.24244,-71.140963,1.0,44.0
50,42.242274,-71.140288,1.0,55.0
51,42.243228,-71.140758,1.0,123.0
54,42.341134,-71.07985,1.0,83.0
55,42.339938,-71.079228,2.0,166.0
56,42.33984,-71.079229,3.0,125.10000000000001
57,42.338869,-71.077381,3.0,263.1
58,42.337688,-71.077522,3.0,314.1
59,42.337537,-71.077002,1.0,153.0
60,42.337461,-71.076911,7.0,695.8000000000001
61,42.335852,-71.076308,2.0,110.0
64,42.325756,-71.058159,2.0,173.0
65,42.325684,-71.057897,1.0,147.0
66,42.325199,-71.058239,4.0,250.0
67,42.325088,-71.057839,4.0,300.8
68,42.325008,-71.057549,1.0,104.0
79,42.321806,-71.057249,1.0,95.0
85,42.320931,-71.060573,1.0,171.0
86,42.321913,-71.060806,2.0,151.0
87,42.321094,-71.058547,1.0,282.0
88,42.321502,-71.0583,4.0,256.8
91,42.32235,-71.060741,1.0,438.0
92,42.321322,-71.057357,2.0,270.0
93,42.322062,-71.055877,1.0,59.0
94,42.321626,-71.054801,1.0,98.0
95,42.321621,-71.056083,3.0,539.0999999999999
96,42.321178,-71.056789,17.0,797.3
97,42.320112,-71.058337,3.0,317.1
98,42.320108,-71.058357,2.0,126.0
99,42.320017,-71.059004,1.0,167.0
100,42.32017,-71.060664,2.0,174.0
101,42.320543,-71.05705,3.0,446.09999999999997
103,42.321011,-71.0439,6.0,169.2
104,42.321101,-71.043531,5.0,206.0
105,42.319695,-71.042239,1.0,124.0
109,42.319369,-71.042565,5.0,267.0
110,42.309386,-71.104383,2.0,157.0
111,42.309832,-71.10417,1.0,109.0
112,42.309834,-71.103283,3.0,150.89999999999998
113,42.30994,-71.101659,1.0,242.0
114,42.309993,-71.101453,1.0,112.0
115,42.310038,-71.10066,1.0,72.0
116,42.30969,-71.099322,1.0,99.0
117,42.308422,-71.100703,2.0,194.0
118,42.309038,-71.099495,2.0,109.0
119,42.310964,-71.099321,1.0,54.0
120,42.310473,-71.099618,1.0,78.0
121,42.310607,-71.100121,3.0,155.10000000000002
122,42.310851,-71.101149,3.0,161.10000000000002
123,42.310825,-71.102222,5.0,398.0
124,42.309847,-71.102381,3.0,165.0
125,42.310559,-71.102813,2.0,46.0
128,42.310529,-71.103483,2.0,151.0
129,42.310831,-71.104281,2.0,100.0
130,42.311044,-71.104924,1.0,76.0
131,42.310128,-71.106192,3.0,312.0
132,42.309793,-71.10684,1.0,149.0
133,42.316967,-71.110208,3.0,473.09999999999997
134,42.317487,-71.109873,1.0,95.0
135,42.317777,-71.109699,4.0,245.2
136,42.32018,-71.111178,24.0,2284.8
137,42.32013,-71.109277,5.0,321.0
138,42.320013,-71.109017,1.0,57.0
139,42.320027,-71.109044,5.0,126.0
140,42.319861,-71.108673,2.0,118.0
141,42.319753,-71.108427,1.0,121.0
142,42.319606,-71.108109,1.0,294.0
149,42.316006,-71.110108,1.0,56.0
150,42.315149,-71.109652,2.0,143.0
151,42.315575,-71.109437,5.0,261.0
152,42.314984,-71.109697,2.0,102.0
153,42.314502,-71.111099,1.0,51.0
154,42.316176,-71.110973,2.0,81.0
155,42.316277,-71.111498,5.0,240.0
156,42.316753,-71.112507,3.0,558.0
157,42.316255,-71.114642,2.0,158.0
158,42.314869,-71.113096,1.0,93.0
159,42.315095,-71.114095,1.0,26.0
160,42.315716,-71.114809,2.0,93.0
161,42.319973,-71.116036,1.0,165.0
162,42.320367,-71.115601,4.0,579.2
163,42.320553,-71.114624,2.0,113.0
164,42.321672,-71.114616,5.0,373.0
165,42.321914,-71.11466,3.0,225.89999999999998
166,42.322423,-71.114842,2.0,128.0
167,42.32243,-71.114843,1.0,57.0
168,42.322547,-71.11484,3.0,45.900000000000006
169,42.321229,-71.114566,2.0,152.0
170,42.318978,-71.111688,2.0,295.0
171,42.318514,-71.110975,4.0,100.8
172,42.318283,-71.110564,2.0,113.0
173,42.318704,-71.112217,2.0,180.0
174,42.318333,-71.112052,1.0,173.0
175,42.317774,-71.110794,1.0,77.0
176,42.316797,-71.113551,1.0,202.0
177,42.317293,-71.113211,3.0,72.9
178,42.317584,-71.112141,2.0,94.0
179,42.316974,-71.11098,2.0,104.0
191,42.316486,-71.108534,1.0,39.0
196,42.316837,-71.109183,5.0,158.0
198,42.318787,-71.110365,2.0,123.0
199,42.319041,-71.109384,3.0,183.0
200,42.319441,-71.110479,1.0,40.0
201,42.319975,-71.111335,1.0,89.0
202,42.320897,-71.111922,2.0,86.0
203,42.320023,-71.111726,2.0,133.0
204,42.319641,-71.111594,1.0,336.0
205,42.257534,-71.100637,3.0,102.0
206,42.25823,-71.099477,4.0,168.8
207,42.258623,-71.098769,2.0,152.0
208,42.2599,-71.100119,2.0,119.0
209,42.260481,-71.099499,1.0,30.0
210,42.260293,-71.099301,1.0,34.0
214,42.266114,-71.087774,1.0,54.0
215,42.266002,-71.08807,1.0,40.0
216,42.265788,-71.08941,1.0,51.0
217,42.268012,-71.087759,1.0,119.0
218,42.268257,-71.089238,1.0,191.0
219,42.26694,-71.086459,1.0,61.0
220,42.266716,-71.084724,1.0,54.0
